State,cluster
Alabama,3
Arizona,1
Arkansas,3
California,1
Colorado,1
Connecticut,2
Delaware,2
District of Columbia,2
Florida,3
Georgia,3
Idaho,1
Illinois,2
Indiana,2
Iowa,2
Kansas,1
Kentucky,2
Louisiana,3
Maine,2
Maryland,2
Massachusetts,2
Michigan,2
Minnesota,1
Mississippi,3
Missouri,2
Montana,1
Nebraska,1
Nevada,1
New Hampshire,2
New Jersey,2
New Mexico,1
New York,2
North Carolina,2
North Dakota,1
Ohio,2
Oklahoma,2
Oregon,2
Pennsylvania,2
Rhode Island,2
South Carolina,2
South Dakota,1
Tennessee,3
Texas,1
Utah,1
Vermont,2
Virginia,2
Washington,2
West Virginia,2
Wisconsin,2
Wyoming,1
